EURUSD Curncy,eurusd30dma,eurusd50dma,entry_signal
PX_LAST,,,
1.1213,,,
1.117,,,
1.1161,,,
1.1195,,,
1.1143,,,
1.1118,,,
1.1105,,,
1.1121,,,
1.114,,,
1.1131,,,
1.1158,,,
1.1135,,,
1.1092,,,
1.1084,,,
1.1092,,,
1.1086,,,
1.1051,,,
1.1025,,,
1.1015,,,
1.1009,,,
1.1005,,,
1.1038000000000001,,,
1.1093,,,
1.1059,,,
1.1037,,,
1.1001,,,
1.0975,,,
1.0946,,,
1.091,,,
1.0922,1.1074333333333333,,
1.0879,1.10632,,
1.0843,1.10523,,
1.0831,1.10413,,
1.0832,1.10292,,
1.0804,1.1017899999999998,,
1.0792,1.100703333333333,,
1.0793,1.099663333333333,,
1.0847,1.0987499999999997,,
1.0871,1.0978533333333331,,
1.0883,1.0970266666666662,,
1.0879,1.0960966666666663,,
1.098,1.0955799999999993,,
1.1026,1.0953599999999994,,
1.1179999999999999,1.0956799999999993,,
1.1159,1.0959033333333328,,
1.1124,1.0960299999999994,,
1.1214,1.0965733333333327,,
1.1284,1.0974366666666662,,
1.1463,1.0989299999999995,,
1.1316,1.0999533333333327,1.1044599999999998,-1.0
1.1285,1.1008866666666663,1.104604,
1.1186,1.1013799999999996,1.104636,
1.1107,1.1014266666666663,1.104528,
1.1159,1.1017599999999999,1.1044559999999999,
1.0988,1.1015966666666666,1.1041459999999998,
1.0848,1.1010866666666668,1.1036059999999999,
1.0684,1.1001166666666669,1.1027639999999996,
1.0688,1.0992566666666668,1.1018979999999998,
1.0751,1.0987266666666669,1.1011199999999999,
1.0757,1.0981766666666668,1.1003719999999997,
1.0861,1.0981166666666669,1.0997779999999997,
1.1024,1.0987200000000004,1.0995559999999998,
1.1141,1.0997533333333336,1.0996539999999997,1.0
1.102,1.1003800000000004,1.0995259999999996,
1.0971,1.100936666666667,1.0992839999999995,
1.0925,1.1013800000000002,1.0989619999999996,
1.0842,1.101543333333334,1.0985439999999995,
1.0801,1.1013900000000008,1.0980959999999995,
1.0802,1.1011600000000006,1.0976699999999995,
1.0896,1.101203333333334,1.0974439999999994,
1.0864,1.1011533333333339,1.0971619999999995,
1.0936,1.1010066666666674,1.0969579999999994,
1.0937000000000001,1.1007100000000005,1.0966459999999996,
1.0917,1.0998333333333339,1.0963619999999996,
1.0965,1.0991866666666672,1.0962179999999995,
1.0917,1.0984966666666671,1.0960499999999995,
1.0834,1.0972300000000004,1.0957679999999996,
1.0875,1.095866666666667,1.0956259999999995,
1.087,1.0938900000000005,1.0955459999999997,-1.0
1.0844,1.0923166666666673,1.0953899999999996,
1.0816,1.090753333333334,1.0952639999999998,
1.0814,1.0895133333333338,1.095206,
1.0823,1.0885666666666673,1.0951899999999997,
1.0821,1.0874400000000004,1.0951679999999997,
1.0832,1.0869200000000003,1.0952239999999998,
1.0848,1.0869200000000003,1.0953359999999999,
1.0937000000000001,1.0877633333333339,1.0956239999999997,
1.0981,1.0887400000000005,1.0958919999999999,
1.09,1.0892366666666673,1.0959499999999998,
1.084,1.089513333333334,1.095864,
1.0807,1.089333333333334,1.09572,
1.0813,1.0886300000000007,1.095386,
1.0839,1.0876233333333338,1.0950119999999999,
1.0808,1.0869166666666674,1.094268,
1.0851,1.0865166666666675,1.0936519999999998,
1.0822,1.086173333333334,1.0930479999999998,
1.0782,1.0859733333333341,1.0921839999999998,
1.082,1.0860366666666674,1.091256,
1.0909,1.086393333333334,1.090148,
1.0929,1.086503333333334,1.0893739999999998,
1.0976,1.0868766666666676,1.0887559999999998,
1.0955,1.086940000000001,1.0882939999999999,
1.0901,1.0868200000000008,1.0878819999999998,
1.0893,1.086740000000001,1.0873499999999998,
